Ticker Symbol,Date,Shares,Price,Cost,Type,Currency
ENXTPA:MC,2024-11-06,8.26,570.9,4715.634,Buy,USD
NYSE:GOLD,2024-11-10,1162.12,17.2099266857,20000.0,Buy,USD
ARCA:VOO,2024-12-02,4.17,555.1534772182,2314.99,Buy,USD
SWX:NESN,2024-12-06,232.66,75.62,17593.7492,Buy,USD
NYSE:BA,2024-12-24,195.28,179.9399836133,35138.68,Sell,USD
ARCA:VOO,2025-02-02,0.33,553.6666666667,182.71,Buy,USD
NasdaqCM:SRTS,2025-02-04,5000.0,6.02,30100.0,Buy,USD
ARCA:VOO,2025-02-07,4.1,553.3804878049,2268.86,Buy,USD
ARCA:VOO,2025-02-11,0.36,548.9166666667,197.61,Buy,USD
NYSE:MOH,2025-02-16,36.0,270.18,9726.48,Buy,USD
SWX:NESN,2025-03-03,232.66,89.3000085962,20776.54,Sell,USD
ENXTPA:MC,2025-03-09,51.04,632.3699059561,32276.16,Sell,USD
NasdaqGS:GOOGL,2025-03-10,60.38,165.6177542233,10000.0,Buy,USD
NasdaqGS:AAPL,2025-03-10,84.56,220.4200567644,18638.72,Sell,USD
NasdaqGS:GOOGL,2025-03-18,61.49,162.6228655066,9999.68,Buy,USD
ARCA:VOO,2025-04-02,0.29,507.2068965517,147.09,Buy,USD
ARCA:VOO,2025-04-02,5.4,500.0018518519,2700.01,Buy,USD
NasdaqGS:GOOGL,2025-04-05,70.0,144.62,10123.4,Buy,USD
ENXTAM:ASML,2025-04-06,34.8432,574.0,19999.9968,Buy,USD
ARCA:VOO,2025-04-07,5.0,480.902,2404.51,Buy,USD
ENXTAM:ASML,2025-04-15,8.66,580.752886836,5029.32,Buy,USD
XTRA:BOSS,2025-04-21,814.48,33.4799995089,27268.79,Sell,USD
ENXTAM:ASML,2025-04-21,19.0,552.6,10499.4,Buy,USD
ENXTAM:ASML,2025-04-25,28.78,583.6323835997,16796.94,Buy,USD
ENXTAM:ASML,2025-05-28,45.37,661.2285651311,29999.94,Buy,USD
NasdaqGS:GOOGL,2025-05-28,115.04,173.8524860918,19999.99,Buy,USD
ARCA:VOO,2025-06-04,58.50603,547.9627414117,32061.3,Sell,USD
NYSE:MOH,2025-06-11,34.01,294.0305792414,9999.98,Buy,USD
NYSE:CRM,2025-06-17,152.19,262.8342860898,40000.75,Buy,USD
NYSE:MOH,2025-07-02,38.93,256.871307475,10000.0,Buy,USD
ENXTAM:ASML,2025-07-04,15.2,657.8914473684,9999.95,Buy,USD
NYSE:CRM,2025-07-15,19.22,260.1451612903,4999.99,Buy,USD
NYSE:GOLD,2025-08-21,1162.12,25.5099989674,29645.68,Sell,USD
NasdaqGS:DUOL,2025-08-21,58.58,341.4136223967,20000.01,Buy,USD
ENXTAM:ASML,2025-09-01,16.0,638.3125,10213.0,Buy,USD
NasdaqGS:GOOGL,2025-09-04,50.0,227.75,11387.5,Buy,USD
NYSE:CRM,2025-09-04,21.0,241.86,5079.06,Buy,USD
ARCA:VOO,2025-09-08,4.32,597.4490740741,2580.98,Buy,USD
NasdaqGS:DUOL,2025-09-09,18.63,268.3843263553,5000.0,Buy,USD
ENXTPA:MC,2025-09-10,0.36,490.6666666667,176.64,Buy,USD
NasdaqGS:ADBE,2025-09-15,20.0,356.1,7122.0,Buy,USD
NYSE:V,2025-09-17,88.21,339.9500056683,29986.99,Buy,USD
NasdaqGS:ADBE,2025-09-17,50.0,355.64,17782.0,Buy,USD
NYSE:UNH,2025-09-17,45.0,341.47,15366.15,Buy,USD
NYSE:UNH,2025-09-22,15.0,340.47,5107.05,Buy,USD
NYSE:BRK.B,2025-09-25,31.0,494.7,15335.7,Buy,USD
NYSE:SPGI,2025-10-06,31.0,479.48,14863.88,Buy,USD
NYSE:BRK.B,2025-10-07,5.39,499.8126159555,2693.99,Buy,USD
NYSE:BRK.B,2025-10-07,5.39,499.8126159555,2693.99,Buy,USD
ENXTPA:MC,2025-10-10,0.35,571.4285714286,200.0,Buy,USD
NasdaqGS:ADBE,2025-10-15,15.0,331.32,4969.8,Buy,USD
NYSE:EFX,2025-10-29,25.0,219.62,5490.5,Buy,USD
NYSE:BRK.B,2025-11-06,5.0,492.69,2463.45,Buy,USD
NasdaqGS:ADBE,2025-11-10,14.8,328.0202702703,4854.7,Buy,USD
ENXTPA:MC,2025-11-10,0.77,615.6363636364,474.04,Buy,USD
NasdaqGS:ADBE,2025-11-20,15.0,318.5,4777.5,Buy,USD
NasdaqGS:ADBE,2025-12-10,14.53,344.1135581555,4999.97,Buy,USD
ENXTPA:MC,2025-12-10,0.33,609.2121212121,201.04,Buy,USD
ENXTPA:MC,2025-12-26,0.62,633.1451612903,392.55,Buy,USD
NYSE:BRK.B,2026-01-02,5.0,494.4,2472.0,Buy,USD
NasdaqGS:ADBE,2026-01-16,20.0,303.58,6071.6,Buy,USD
NasdaqGS:ADBE,2026-01-27,34.0,303.6,10322.4,Buy,USD
NasdaqGS:ADBE,2026-01-29,18.0,288.33,5189.94,Buy,USD
NYSE:SPGI,2026-02-02,21.0,471.39,9899.19,Buy,USD
NasdaqGS:MSFT,2026-02-06,51.0,395.59,20175.09,Buy,USD
NasdaqGS:MSFT,2026-02-18,38.0,398.11,15128.18,Buy,USD
