ticker,ticker_symbol,sell_date,sell_row_id,lot_id,matched_shares,entry_date,entry_price,sell_price,entry_fx,sell_fx,local_realized,fx_realized,total_realized
GOOGL,NasdaqGS:GOOGL,OPEN,,62,61.49,2025-03-18,162.6228655066,332.92999267578125,1.0,1.0,,,
GOOGL,NasdaqGS:GOOGL,OPEN,,65,70.0,2025-04-05,144.62,332.92999267578125,1.0,1.0,,,
GOOGL,NasdaqGS:GOOGL,OPEN,,72,115.04,2025-05-28,173.8524860918,332.92999267578125,1.0,1.0,,,
GOOGL,NasdaqGS:GOOGL,OPEN,,81,50.0,2025-09-04,227.75,332.92999267578125,1.0,1.0,,,
VOO,ARCA:VOO,OPEN,,82,4.32,2025-09-08,597.4490740741,638.3499755859375,1.0,1.0,,,
PAYC,NYSE:PAYC,OPEN,,41,140.85499,2024-06-26,141.99,119.80000305175781,1.0,1.0,,,
MOH,NYSE:MOH,OPEN,,42,34.13202,2024-07-04,292.98,147.63999938964844,1.0,1.0,,,
MOH,NYSE:MOH,OPEN,,49,34.48,2024-10-09,290.0232018561,147.63999938964844,1.0,1.0,,,
MOH,NYSE:MOH,OPEN,,50,34.88,2024-10-14,286.6972477064,147.63999938964844,1.0,1.0,,,
MOH,NYSE:MOH,OPEN,,60,36.0,2025-02-16,270.18,147.63999938964844,1.0,1.0,,,
MOH,NYSE:MOH,OPEN,,73,34.01,2025-06-11,294.0305792414,147.63999938964844,1.0,1.0,,,
MOH,NYSE:MOH,OPEN,,75,38.93,2025-07-02,256.871307475,147.63999938964844,1.0,1.0,,,
MC,ENXTPA:MC,OPEN,,84,0.356164,2025-09-10,495.95,485.29998779296875,1.0,1.0,,,
MC,ENXTPA:MC,OPEN,,93,0.353919,2025-10-10,565.1,485.29998779296875,1.0,1.0,,,
MC,ENXTPA:MC,OPEN,,99,0.771923,2025-11-10,614.1,485.29998779296875,1.0,1.0,,,
MC,ENXTPA:MC,OPEN,,104,0.326304,2025-12-10,616.1,485.29998779296875,1.0,1.0,,,
MC,ENXTPA:MC,OPEN,,106,0.622407,2025-12-26,630.7,485.29998779296875,1.0,1.0,,,
MC,MC,OPEN,,108,0.572734,2026-01-12,646.2,485.29998779296875,1.0,1.0,,,
MC,MC,OPEN,,114,0.37416,2026-02-09,534.0,485.29998779296875,1.0,1.0,,,
SRTS,NasdaqCM:SRTS,OPEN,,57,5000.0,2025-02-04,6.02,4.539999961853027,1.0,1.0,,,
ASML,ENXTAM:ASML,OPEN,,68,6.5032,2025-04-16,580.752887,1281.199951171875,1.0,1.0,,,
ASML,ENXTAM:ASML,OPEN,,69,19.0,2025-04-22,552.6,1281.199951171875,1.0,1.0,,,
ASML,ENXTAM:ASML,OPEN,,70,28.78,2025-04-25,583.6323835997,1281.199951171875,1.0,1.0,,,
ASML,ENXTAM:ASML,OPEN,,71,45.3651,2025-05-28,661.3,1281.199951171875,1.0,1.0,,,
ASML,ENXTAM:ASML,OPEN,,76,15.1998,2025-07-04,657.9,1281.199951171875,1.0,1.0,,,
ASML,ENXTAM:ASML,OPEN,,79,16.0,2025-09-01,638.3125,1281.199951171875,1.0,1.0,,,
CRM,NYSE:CRM,OPEN,,74,152.19,2025-06-17,262.8342860898,171.3300018310547,1.0,1.0,,,
CRM,NYSE:CRM,OPEN,,77,19.22,2025-07-15,260.1451612903,171.3300018310547,1.0,1.0,,,
CRM,NYSE:CRM,OPEN,,80,21.0,2025-09-04,241.86,171.3300018310547,1.0,1.0,,,
DUOL,NasdaqGS:DUOL,OPEN,,78,58.58,2025-08-21,341.4136223967,91.5,1.0,1.0,,,
DUOL,NasdaqGS:DUOL,OPEN,,83,18.63,2025-09-09,268.3843263553,91.5,1.0,1.0,,,
ADBE,NasdaqGS:ADBE,OPEN,,85,20.0,2025-09-15,356.1,235.69000244140625,1.0,1.0,,,
ADBE,NasdaqGS:ADBE,OPEN,,86,50.0,2025-09-17,355.64,235.69000244140625,1.0,1.0,,,
